,Days,Index
1058,1567,11764.2099609375
1059,1568,11952.259765625
1060,1569,11944.2998046875
1061,1570,11980.099609375
1062,1571,12120.66015625
1063,1574,12163.8896484375
1064,1575,12044.8798828125
1065,1576,12004.2900390625
1066,1578,11761.7900390625
1067,1584,11571.33984375
1068,1585,11438.8203125
1069,1588,10884.7001953125
1070,1589,10907.1796875
1071,1590,11153.580078125
1072,1591,10825.099609375
1073,1592,10849.6298828125
1074,1595,10505.0498046875
1075,1596,10711.08984375
1076,1597,10967.740234375
1077,1598,10862.0400390625
1078,1599,11070.25
1079,1602,11101.6396484375
1080,1603,10962.9296875
1081,1604,11152.08984375
1082,1605,11166.0302734375
1083,1606,11309.5703125
1084,1609,11236.3701171875
1085,1610,11296.759765625
1086,1611,11242.33984375
1087,1612,11027.0498046875
1088,1613,11128.0498046875
1089,1616,11439.919921875
1090,1617,11521.9296875
1091,1618,11449.740234375
1092,1619,11575.9697265625
1093,1620,11526.8203125
1094,1623,11491.66015625
1095,1624,11387.7001953125
1096,1625,11641.7197265625
1097,1626,11607.900390625
1098,1627,11382.080078125
1099,1630,11600.16015625
1100,1631,11581.26953125
1101,1632,11580.5595703125
1102,1633,11744.150390625
1103,1634,11780.400390625
1104,1637,11884.0595703125
1105,1638,11860.8095703125
1106,1639,11858.8701171875
1107,1640,11896.009765625
1108,1641,11721.490234375
1109,1644,11541.7099609375
1110,1645,11475.26953125
1111,1646,11384.8603515625
1112,1647,11322.23046875
1113,1648,11423.5302734375
1114,1651,11582.2802734375
1115,1652,11608.6201171875
1116,1653,11356.650390625
1117,1654,11409.1396484375
1118,1655,11436.0
1119,1659,11258.3701171875
1120,1660,11433.8603515625
1121,1661,11285.0400390625
1122,1662,11187.330078125
1123,1665,11159.5498046875
1124,1666,11031.5400390625
1125,1667,11204.3701171875
1126,1668,11116.83984375
1127,1669,11325.7802734375
1128,1672,11222.240234375
1129,1673,11140.5703125
1130,1674,11010.01953125
1131,1675,11060.8896484375
1132,1676,10972.5703125
1133,1679,10908.7001953125
1134,1680,10953.5498046875
1135,1681,11049.4599609375
1136,1682,11028.0703125
1137,1683,10757.2001953125
1138,1686,10687.8095703125
1139,1687,10725.9697265625
1140,1688,10774.259765625
1141,1689,10903.5302734375
1142,1690,10889.1396484375
1143,1693,10960.9697265625
1144,1694,10985.330078125
1145,1695,11130.01953125
1146,1696,11129.330078125
1147,1697,11209.58984375
1148,1700,11184.5302734375
1149,1701,11081.7900390625
1150,1702,11127.349609375
1151,1703,11152.75
1152,1704,11022.490234375
1153,1707,11244.3701171875
1154,1708,11298.9404296875
1155,1709,11279.1904296875
1156,1710,11170.9599609375
1157,1711,11083.23046875
1158,1714,11253.1103515625
1159,1715,11295.580078125
1160,1716,11158.580078125
1161,1717,11139.3603515625
1162,1718,11082.490234375
1163,1722,11080.8701171875
1164,1723,11019.41015625
1165,1725,10895.16015625
1166,1728,10859.3203125
1167,1729,10815.5703125
1168,1730,10786.099609375
1169,1731,10823.5703125
